channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id,cleaned_text,Topic_Category,sentiment_p_pos,sentiment_bucket,p_pos_llm,p_pos_hf,p_neg_hf,comment_weight,impact_weighted_sentiment
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdqhoWY4_e,"I like this format much better than the other . Because when it's 2 people, most of the time it's both people having the same opinion. Here it's like we take an idea and we get multiple points of view.",@JoelJose12345,UClXaG5i-lnqXbUMb6ayjTRQ,6,2025-09-29T07:08:06Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"i like this format much better than the other . because when it's 2 people, most of the time it's both people having the same opinion. here it's like we take an idea and we get multiple points of view.",religion / spirituality,0.7409713745117188,Positive,0.5,0.9016189575195312,0.010586114600300789,1.2,0.8891656494140625
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANds81ZbBzD,"Yeah, this format is great. Except that one time when you decided to turn on a feminist. How uncomfortable you felt when she was talking. It's time to see someone about that childhood wound you carry. 
It's showing 😉",@Little_Shadow_,UCVLRgNZlbI04EE-ssMhgaiA,4,2025-09-29T07:20:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"yeah, this format is great. except that one time when you decided to turn on a feminist. how uncomfortable you felt when she was talking. it's time to see someone about that childhood wound you carry. 
it's showing",religion / spirituality,0.27415502816438675,Negative,0.5,0.12359171360731125,0.5958366990089417,1.2,0.3289860337972641
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANduqrW5RzI,Yes Praise Jesus Christ!,@PashaOCE,UCUxXdJAouuU-nCtlruc8RLg,2,2025-09-29T07:44:18Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yes praise jesus christ!,religion / spirituality,0.7824072122573853,Positive,0.5,0.9706786870956421,0.003458616090938449,1.2,0.9388886547088623
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdw11VoL1o,@@Little_Shadow_ Which episode was that one please?!?,@Rainbow_Heart_888,UCEzmMzKrV7o5YDydDsU_6hw,0,2025-09-29T07:54:33Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,@ which episode was that one please?!?,religion / spirituality,0.26335014700889586,Negative,0.5,0.10558357834815979,0.015177049674093723,1.0,0.26335014700889586
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdwFnXYeu7,Bro you should have invited a Muslim like Muslim lantern ( Muhammad Ali).,@Musa-l4f7m,UCRoZiazVMbYbekHc2N_XQKA,2,2025-09-29T07:56:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,bro you should have invited a muslim like muslim lantern ( muhammad ali).,religion / spirituality,0.2223694957792759,Negative,0.5,0.037282492965459824,0.24136550724506378,1.2,0.26684339493513104
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdz3kjikb-,💛💛👊,@sreedevi3652,UCxUxjhRpUgsfHOWXR7anR7Q,0,2025-09-29T08:21:09Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,,religion / spirituality,0.5,Neutral,0.5,0.33,0.33,1.0,0.5
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdzArZNSQS,"I like the format but man… while I usually dig Dr K, I feel like he hijacked the first 35 mins and you could have maybe been more proactive in moving the discussion along - I think he derailed aspects and needed some prompts",,UCtYEPr8MNcUi16UFUzPCAjw,1,2025-09-29T08:22:07Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"i like the format but man while i usually dig dr k, i feel like he hijacked the first 35 mins and you could have maybe been more proactive in moving the discussion along - i think he derailed aspects and needed some prompts",religion / spirituality,0.21076588295400145,Negative,0.5,0.017943138256669044,0.7750825881958008,1.2,0.2529190595448017
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-1Qh3ZDD,I really want a conversation with Esther Perel and Doctor K,@angelar7387,UCzQzrJdgrzY2vWeUwp0rF1w,1,2025-09-29T08:29:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,i really want a conversation with esther perel and doctor k,religion / spirituality,0.39659292101860044,Neutral,0.5,0.3276548683643341,0.05681851506233215,1.2,0.4759115052223205
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-Ih4XYX2,You need to have Britt Hartley on,@danicapaulos2347,UCYxIyh4lC0d4Lt_9B--N7WQ,2,2025-09-29T08:31:55Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,you need to have britt hartley on,religion / spirituality,0.2598728105425835,Negative,0.5,0.09978801757097244,0.07358091324567795,1.2,0.3118473726511002
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-NwpDpww,"Invite Omar Suleiman from Yaqeen Institute, he's got the most gentle, respectful manner and he's highly intelligent with an inclusive mindset 😊",@amberzen2379,UCTHS2hN6u3MqgAgTkfBZZpg,0,2025-09-29T08:32:38Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"invite omar suleiman from yaqeen institute, he's got the most gentle, respectful manner and he's highly intelligent with an inclusive mindset",religion / spirituality,0.7579808712005616,Positive,0.5,0.9299681186676025,0.007451759185642004,1.0,0.7579808712005616
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe1RzKRBha,"Did you ever thought about looking into Islam what kind of life purpose Muslims have ? Maybe look into that I hope you can bring someone on your show as well who is Muslim. And they can share with everyone. 

And I did not create the jinn and mankind except to worship Me.” (Qur’an 51:56)",@786pathani,UCHrhloNrF6MOtqBy4VkK4Zw,1,2025-09-29T08:50:40Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"did you ever thought about looking into islam what kind of life purpose muslims have ? maybe look into that i hope you can bring someone on your show as well who is muslim. and they can share with everyone. 

and i did not create the jinn and mankind except to worship me. (quran 51:56)",religion / spirituality,0.4011973440647125,Neutral,0.5,0.3353289067745209,0.01580129563808441,1.2,0.481436812877655
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe4wTqKjBl,We Love this shit man!,@CrackedCanvasCommunity,UCTNnshfGEM6OLgb4weU4ScQ,0,2025-09-29T09:21:11Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,we love this shit man!,religion / spirituality,0.7220927715301513,Positive,0.5,0.870154619216919,0.05671856179833412,1.0,0.7220927715301513
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe5VgujWwK,Very western centric lense,@Freepal3st1n3,UC8jCUDEl2M2wiSPq64tQxnQ,2,2025-09-29T09:26:08Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,very western centric lense,religion / spirituality,0.2508154153823853,Negative,0.5,0.08469235897064209,0.15801723301410675,1.2,0.3009784984588623
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe5rr-loyI,Love them,@SaintAndScholar,UCvs0veiCCUKcS_KLTBqDbeQ,0,2025-09-29T09:29:17Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,love them,religion / spirituality,0.748574435710907,Positive,0.5,0.914290726184845,0.012388108298182487,1.0,0.748574435710907
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeA3-3JRFd,This was great to watch,@TheTourGuidesLunch,UCBbMlberQSjEwU5mqktqUow,0,2025-09-29T10:05:54Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,this was great to watch,religion / spirituality,0.7897112250328064,Positive,0.5,0.982852041721344,0.0036566639319062233,1.0,0.7897112250328064
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeA3cQHb5k,YESSSSSSSS​@@danicapaulos2347,@Zackarius,UC0Gzga70Aa34AG0h0tGmhtg,0,2025-09-29T10:05:59Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yessssssss@,religion / spirituality,0.6129552245140075,Neutral,0.5,0.688258707523346,0.027146684005856514,1.0,0.6129552245140075
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeC92DS6XN,Debates are always better than a 1 on 1 convo.,@hmmm6211,UChKpiuelHM3QIyti2qCmwBw,0,2025-09-29T10:24:12Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,debates are always better than a 1 on 1 convo.,religion / spirituality,0.6320661783218384,Neutral,0.5,0.720110297203064,0.01998130977153778,1.0,0.6320661783218384
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeCfialE3v,"What I *dont* like is having to skip the first 2:00 of all of your videos.
🥲",@matt1871,UCafAJWEHeSx_Ri39APD5znw,0,2025-09-29T10:28:48Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,what i *dont* like is having to skip the first 2:00 of all of your videos.,religion / spirituality,0.20499123446643353,Negative,0.5,0.008318724110722542,0.8807407021522522,1.0,0.20499123446643353
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeCr7M_84s,"This was a very stvpid and uninformed conversation, gfy",@DucksWhy,UC6rNALUc3-8c65h06e3YgDA,1,2025-09-29T10:30:21Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"this was a very stvpid and uninformed conversation, gfy",religion / spirituality,0.20370615627616645,Negative,0.5,0.006176927126944065,0.9018693566322327,1.2,0.24444738753139972
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeDPAPYVb7,​@@Little_Shadow_Please reconsider how you are presenting your opinion. Perhaps it comes across as intending to be hurtful.,@tygulick,UC13uc3y_OYUgoVCDTpJLHAA,0,2025-09-29T10:35:08Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,@ reconsider how you are presenting your opinion. perhaps it comes across as intending to be hurtful.,religion / spirituality,0.2055808946490288,Negative,0.5,0.00930149108171463,0.6929634213447571,1.0,0.2055808946490288
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeEAN_U2M6,⁠@@Little_Shadow_has been since episode two.,@cellardoor-,UCuI8IoW5sIBSfMpgZEAzEBg,1,2025-09-29T10:41:51Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,@ been since episode two.,religion / spirituality,0.2632457375526428,Negative,0.5,0.10540956258773804,0.019464001059532166,1.2,0.31589488506317137
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeEVlPdTsZ,LOVE THEM,@Thesingledad1979,UCfRwljO2pFC7wRLq_w6K_KQ,0,2025-09-29T10:44:47Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,love them,religion / spirituality,0.748574435710907,Positive,0.5,0.914290726184845,0.012388108298182487,1.0,0.748574435710907
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeEew42EQ2,The format is great! The guest… please please don’t bring mental masturbators. Everyone can listen to 100videos of Alex arguing always the same. What the psychiatrist and the Christian gentleman sometimes get the opportunity to communicate is really interesting.,@cristinabarrera9514,UCHz3F1b32s-CbJmWhw-8Frw,0,2025-09-29T10:46:10Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,the format is great! the guest please please dont bring mental masturbators. everyone can listen to 100videos of alex arguing always the same. what the psychiatrist and the christian gentleman sometimes get the opportunity to communicate is really interesting.,religion / spirituality,0.7144790887832642,Positive,0.5,0.8574651479721069,0.020274752750992775,1.0,0.7144790887832642
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeFX629Fhf,religion wont bring you purpose knowing there is no purpose is the purpose itself as you can give yourswlf a purpose not get one from sky daddy,@whhhaaaaahhhhhaaahaa,UCW0QkGfD25fqyRjt1IID-8g,0,2025-09-29T10:53:42Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,religion wont bring you purpose knowing there is no purpose is the purpose itself as you can give yourswlf a purpose not get one from sky daddy,religion / spirituality,0.21104185208678247,Negative,0.5,0.018403086811304092,0.7572629451751709,1.0,0.21104185208678247
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeHkmZep2A,"The choice of people, the forms of respect and the way everything unfolded. No words, keep up these types of conversations and the work!",@Kiriun111,UCzmi5V3gfQ_3fKHNXe6wCSw,0,2025-09-29T11:13:11Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"the choice of people, the forms of respect and the way everything unfolded. no words, keep up these types of conversations and the work!",religion / spirituality,0.7277740478515624,Positive,0.5,0.8796234130859375,0.01380447018891573,1.0,0.7277740478515624
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeHll5FOd0,Yes! Fantastic format love Dr Ks instinct to really understand the others and the purpose of the conversation 🎉,@MariaRose360,UCXyuET3vCUoATTKzqrAbxcQ,0,2025-09-29T11:13:19Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yes! fantastic format love dr ks instinct to really understand the others and the purpose of the conversation,religion / spirituality,0.7810549497604371,Positive,0.5,0.968424916267395,0.0037352878134697676,1.0,0.7810549497604371
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeI8t4Z0Yi,Yes,@JohnGaray,UCEwd8GbR4I3zbtDTaCJqegg,0,2025-09-29T11:16:37Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yes,religion / spirituality,0.6580408883094788,Neutral,0.925,0.4800681471824646,0.10225527733564377,1.0,0.6580408883094788
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeIOUTd4F4,More of this please ❤,@naderabegumruma7081,UC0FQ2hFrgNAQmhxPAtzxwxw,0,2025-09-29T11:18:44Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,more of this please,religion / spirituality,0.5813171744346619,Neutral,0.5,0.6355286240577698,0.06538360565900803,1.0,0.5813171744346619
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeImbj7mLZ,"I've been subscribed and listening to your podcasts a while now. This was one of the most profound for me. Yes, please do more like this.",@abaneyone,UCm5a-OHkhpBvg75lWpFPJlw,0,2025-09-29T11:22:10Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"i've been subscribed and listening to your podcasts a while now. this was one of the most profound for me. yes, please do more like this.",religion / spirituality,0.7911408424377442,Positive,0.5,0.9852347373962402,0.0028600438963621855,1.0,0.7911408424377442
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeKdFTL5ZT,Keep this up👍🏾🙏🏽,@kingdrippygames,UCL9DTqX9C64Ixwg3Mc9uw2w,0,2025-09-29T11:38:22Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,keep this up,religion / spirituality,0.42160333991050725,Neutral,0.5,0.36933889985084534,0.039414286613464355,1.0,0.42160333991050725
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeL89M-Xe5,"Yes, love it. It is very importance to show that people can have different belief and discuss it without hate",@birdwoman11,UC0V2UH600T1ewELKV6NtRgw,0,2025-09-29T11:42:43Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"yes, love it. it is very importance to show that people can have different belief and discuss it without hate",religion / spirituality,0.7617565274238587,Positive,0.5,0.9362608790397644,0.009100333787500858,1.0,0.7617565274238587
